company,date,headline,summary
AAPL,01/02/2022,Apple (AAPL) Q1 2023 Earnings Call Transcript,"AAPL earnings call for the period ending December 31, 2022. Logo of jester cap with thought bubble. Image source: The Motley Fool. Apple (AAPL -0.74%)"
AAPL,01/02/2022,Apple sales drop 5% in largest quarterly revenue decline since 2016,AAPL-1.23 (-0.73%). Follow your favorite stocksCREATE FREE ACCOUNT. Wedbush's Dan Ives on Apple earnings: Much better than feared. watch now. VIDEO6:1806:18.
AAPL,01/02/2022,"AAPL investors unconcerned by earnings, following ...","AAPL investors unconcerned by earnings, following Cook's reassurance · iPhone: $65.78 billion (vs. $71.63 billion) · Mac: $7.74 billion (vs. $10.85 billion) · iPad..."
AAPL,01/02/2022,Apple (NASDAQ:AAPL) Preview: Revenues Could Decline in Q2,"On April 24, the analyst said he expects a 5% fall in AAPL's product revenues. However, he expects iPhone sales to offset the weakness in Mac revenue. Given the..."
AAPL,01/02/2022,Apple (AAPL) Q2 2023 Earnings Preview: What to Expect?,"Apple (AAPL) reports quarterly earnings on May 4th after the market closes, and both revenue and earnings per share (EPS) expectations are lower than the..."
AAPL,01/03/2022,Apple (AAPL) Q1 2023 Earnings Call Transcript,"AAPL earnings call for the period ending December 31, 2022. Logo of jester cap with thought bubble. Image source: The Motley Fool. Apple (AAPL -0.74%)"
AAPL,01/03/2022,Apple sales drop 5% in largest quarterly revenue decline since 2016,AAPL-1.23 (-0.73%). Follow your favorite stocksCREATE FREE ACCOUNT. Wedbush's Dan Ives on Apple earnings: Much better than feared. watch now. VIDEO6:1806:18.
AAPL,01/03/2022,"AAPL investors unconcerned by earnings, following ...","AAPL investors unconcerned by earnings, following Cook's reassurance · iPhone: $65.78 billion (vs. $71.63 billion) · Mac: $7.74 billion (vs. $10.85 billion) · iPad..."
AAPL,01/03/2022,Apple (NASDAQ:AAPL) Preview: Revenues Could Decline in Q2,"On April 24, the analyst said he expects a 5% fall in AAPL's product revenues. However, he expects iPhone sales to offset the weakness in Mac revenue. Given the..."
AAPL,01/03/2022,Apple (AAPL) Q2 2023 Earnings Preview: What to Expect?,"Apple (AAPL) reports quarterly earnings on May 4th after the market closes, and both revenue and earnings per share (EPS) expectations are lower than the..."
AAPL,01/04/2022,Apple (AAPL) Q1 2023 Earnings Call Transcript,"AAPL earnings call for the period ending December 31, 2022. Logo of jester cap with thought bubble. Image source: The Motley Fool. Apple (AAPL -0.74%)"
AAPL,01/04/2022,Apple sales drop 5% in largest quarterly revenue decline since 2016,AAPL-1.23 (-0.73%). Follow your favorite stocksCREATE FREE ACCOUNT. Wedbush's Dan Ives on Apple earnings: Much better than feared. watch now. VIDEO6:1806:18.
AAPL,01/04/2022,"AAPL investors unconcerned by earnings, following ...","AAPL investors unconcerned by earnings, following Cook's reassurance · iPhone: $65.78 billion (vs. $71.63 billion) · Mac: $7.74 billion (vs. $10.85 billion) · iPad..."
AAPL,01/04/2022,Apple (NASDAQ:AAPL) Preview: Revenues Could Decline in Q2,"On April 24, the analyst said he expects a 5% fall in AAPL's product revenues. However, he expects iPhone sales to offset the weakness in Mac revenue. Given the..."
AAPL,01/04/2022,Apple (AAPL) Q2 2023 Earnings Preview: What to Expect?,"Apple (AAPL) reports quarterly earnings on May 4th after the market closes, and both revenue and earnings per share (EPS) expectations are lower than the..."
AAPL,01/05/2022,Apple (AAPL) Q1 2023 Earnings Call Transcript,"AAPL earnings call for the period ending December 31, 2022. Logo of jester cap with thought bubble. Image source: The Motley Fool. Apple (AAPL -0.74%)"
AAPL,01/05/2022,Apple sales drop 5% in largest quarterly revenue decline since 2016,AAPL-1.23 (-0.73%). Follow your favorite stocksCREATE FREE ACCOUNT. Wedbush's Dan Ives on Apple earnings: Much better than feared. watch now. VIDEO6:1806:18.
AAPL,01/05/2022,"AAPL investors unconcerned by earnings, following ...","AAPL investors unconcerned by earnings, following Cook's reassurance · iPhone: $65.78 billion (vs. $71.63 billion) · Mac: $7.74 billion (vs. $10.85 billion) · iPad..."
AAPL,01/05/2022,Apple (NASDAQ:AAPL) Preview: Revenues Could Decline in Q2,"On April 24, the analyst said he expects a 5% fall in AAPL's product revenues. However, he expects iPhone sales to offset the weakness in Mac revenue. Given the..."
AAPL,01/05/2022,Apple (AAPL) Q2 2023 Earnings Preview: What to Expect?,"Apple (AAPL) reports quarterly earnings on May 4th after the market closes, and both revenue and earnings per share (EPS) expectations are lower than the..."
company,date,headline,summary
AAPL,01/02/2022,Apple (AAPL) Q1 2023 Earnings Call Transcript,"AAPL earnings call for the period ending December 31, 2022. Logo of jester cap with thought bubble. Image source: The Motley Fool. Apple (AAPL -0.74%)"
AAPL,01/02/2022,Apple sales drop 5% in largest quarterly revenue decline since 2016,AAPL-1.23 (-0.73%). Follow your favorite stocksCREATE FREE ACCOUNT. Wedbush's Dan Ives on Apple earnings: Much better than feared. watch now. VIDEO6:1806:18.
AAPL,01/02/2022,"AAPL investors unconcerned by earnings, following ...","AAPL investors unconcerned by earnings, following Cook's reassurance · iPhone: $65.78 billion (vs. $71.63 billion) · Mac: $7.74 billion (vs. $10.85 billion) · iPad..."
AAPL,01/02/2022,Apple (NASDAQ:AAPL) Preview: Revenues Could Decline in Q2,"On April 24, the analyst said he expects a 5% fall in AAPL's product revenues. However, he expects iPhone sales to offset the weakness in Mac revenue. Given the..."
AAPL,01/02/2022,Apple (AAPL) Q2 2023 Earnings Preview: What to Expect?,"Apple (AAPL) reports quarterly earnings on May 4th after the market closes, and both revenue and earnings per share (EPS) expectations are lower than the..."
AAPL,01/03/2022,Apple (AAPL) Q1 2023 Earnings Call Transcript,"AAPL earnings call for the period ending December 31, 2022. Logo of jester cap with thought bubble. Image source: The Motley Fool. Apple (AAPL -0.74%)"
AAPL,01/03/2022,Apple sales drop 5% in largest quarterly revenue decline since 2016,AAPL-1.23 (-0.73%). Follow your favorite stocksCREATE FREE ACCOUNT. Wedbush's Dan Ives on Apple earnings: Much better than feared. watch now. VIDEO6:1806:18.
AAPL,01/03/2022,"AAPL investors unconcerned by earnings, following ...","AAPL investors unconcerned by earnings, following Cook's reassurance · iPhone: $65.78 billion (vs. $71.63 billion) · Mac: $7.74 billion (vs. $10.85 billion) · iPad..."
AAPL,01/03/2022,Apple (NASDAQ:AAPL) Preview: Revenues Could Decline in Q2,"On April 24, the analyst said he expects a 5% fall in AAPL's product revenues. However, he expects iPhone sales to offset the weakness in Mac revenue. Given the..."
AAPL,01/03/2022,Apple (AAPL) Q2 2023 Earnings Preview: What to Expect?,"Apple (AAPL) reports quarterly earnings on May 4th after the market closes, and both revenue and earnings per share (EPS) expectations are lower than the..."
AAPL,01/04/2022,Apple (AAPL) Q1 2023 Earnings Call Transcript,"AAPL earnings call for the period ending December 31, 2022. Logo of jester cap with thought bubble. Image source: The Motley Fool. Apple (AAPL -0.74%)"
AAPL,01/04/2022,Apple sales drop 5% in largest quarterly revenue decline since 2016,AAPL-1.23 (-0.73%). Follow your favorite stocksCREATE FREE ACCOUNT. Wedbush's Dan Ives on Apple earnings: Much better than feared. watch now. VIDEO6:1806:18.
AAPL,01/04/2022,"AAPL investors unconcerned by earnings, following ...","AAPL investors unconcerned by earnings, following Cook's reassurance · iPhone: $65.78 billion (vs. $71.63 billion) · Mac: $7.74 billion (vs. $10.85 billion) · iPad..."
AAPL,01/04/2022,Apple (NASDAQ:AAPL) Preview: Revenues Could Decline in Q2,"On April 24, the analyst said he expects a 5% fall in AAPL's product revenues. However, he expects iPhone sales to offset the weakness in Mac revenue. Given the..."
AAPL,01/04/2022,Apple (AAPL) Q2 2023 Earnings Preview: What to Expect?,"Apple (AAPL) reports quarterly earnings on May 4th after the market closes, and both revenue and earnings per share (EPS) expectations are lower than the..."
AAPL,2022-01-01,Apple expected to announce $90 billion in buybacks and dividends when it reports earnings,The Tech giant is expected to announce its quarterly results today and the buzz is that Apple may seek a buyback of its shares. Reports say that the buyback...
AAPL,2022-01-01,Apple: `Buyback King` looks to gain investor confidence with $90 billion plan,"Apple's highly anticipated quarterly earnings report is set to release on Thursday. While the company is expected to see a decline in revenue, it will still..."
AAPL,2022-01-01,Apple Reports Earnings Today. What to Expect.,"Shares of the iPhone maker are up 31% this year, though Wall Street is forecasting another year-over-year sales decline in the latest quarter."
AAPL,2022-01-01,Business News | Unifest: The Largest Apple Only Festival in India Powered by Unicorn,"Get latest articles and stories on Business at LatestLY. UniFest is the largest Apple-only festival in India, and it's back this year with unbelievable..."
AAPL,2022-01-01,Both Sundar Pichai and Tim Cook wanted 2 IIT engineers. Here's what happened,Google CEO Sundar Pichai 'personally wooed' the two IIT graduates and their partner to join his company while Apple CEO Tim Cook 'tried to persuade them to...
AAPL,2022-01-01,"TSLA, AAPL, WAL, IMGN, QCOM: Top Trending Stocks - PacWest Banc (NASDAQ:PACW), Apple (NASDAQ:AAPL), Tesla",Be Smarter Than Your Friends: Benzinga members get 3 trade opportunities & the hot takes on the economy every single week. Stop Missing Out!
AAPL,2022-01-01,BeReal now rolling out Apple Music integration to share songs in the app,"Earlier this year, BeReal announced a new feature that lets users share music they're listening to with their friends on the app. At first, the feature was..."
AAPL,2022-01-01,Apple Safari overtakes Microsoft Edge in desktop market share,"Apple's native web browser, Safari, has officially overtaken Microsoft Edge in global market share according to new StatCounter data."
AAPL,2022-01-01,Apple: Be Prepared For Hitting The Target (NASDAQ:AAPL),Apple Inc. is set to report FQ2 2023 earnings after the close on May 4. AAPL is forecast to report poor numbers with revenues and EPS falling.
AAPL,2022-01-01,Apple: Be Prepared For Hitting The Target (NASDAQ:AAPL),"When Apple Inc. (NASDAQ:AAPL) reports earnings tomorrow, the biggest risk to the investment story is the tech giant hitting the expected analyst targets."
AAPL,2022-01-02,Apple expected to announce $90 billion in buybacks and dividends when it reports earnings,The Tech giant is expected to announce its quarterly results today and the buzz is that Apple may seek a buyback of its shares. Reports say that the buyback...
AAPL,2022-01-02,Apple: `Buyback King` looks to gain investor confidence with $90 billion plan,"Apple's highly anticipated quarterly earnings report is set to release on Thursday. While the company is expected to see a decline in revenue, it will still..."
AAPL,2022-01-02,Apple Reports Earnings Today. What to Expect.,"Shares of the iPhone maker are up 31% this year, though Wall Street is forecasting another year-over-year sales decline in the latest quarter."
AAPL,2022-01-02,Business News | Unifest: The Largest Apple Only Festival in India Powered by Unicorn,"Get latest articles and stories on Business at LatestLY. UniFest is the largest Apple-only festival in India, and it's back this year with unbelievable..."
AAPL,2022-01-02,Both Sundar Pichai and Tim Cook wanted 2 IIT engineers. Here's what happened,Google CEO Sundar Pichai 'personally wooed' the two IIT graduates and their partner to join his company while Apple CEO Tim Cook 'tried to persuade them to...
AAPL,2022-01-02,"TSLA, AAPL, WAL, IMGN, QCOM: Top Trending Stocks - PacWest Banc (NASDAQ:PACW), Apple (NASDAQ:AAPL), Tesla",Be Smarter Than Your Friends: Benzinga members get 3 trade opportunities & the hot takes on the economy every single week. Stop Missing Out!
AAPL,2022-01-02,BeReal now rolling out Apple Music integration to share songs in the app,"Earlier this year, BeReal announced a new feature that lets users share music they're listening to with their friends on the app. At first, the feature was..."
AAPL,2022-01-02,Apple Safari overtakes Microsoft Edge in desktop market share,"Apple's native web browser, Safari, has officially overtaken Microsoft Edge in global market share according to new StatCounter data."
AAPL,2022-01-02,Apple: Be Prepared For Hitting The Target (NASDAQ:AAPL),Apple Inc. is set to report FQ2 2023 earnings after the close on May 4. AAPL is forecast to report poor numbers with revenues and EPS falling.
AAPL,2022-01-02,Apple: Be Prepared For Hitting The Target (NASDAQ:AAPL),"When Apple Inc. (NASDAQ:AAPL) reports earnings tomorrow, the biggest risk to the investment story is the tech giant hitting the expected analyst targets."
AAPL,2022-01-03,Apple expected to announce $90 billion in buybacks and dividends when it reports earnings,The Tech giant is expected to announce its quarterly results today and the buzz is that Apple may seek a buyback of its shares. Reports say that the buyback...
AAPL,2022-01-03,Apple: `Buyback King` looks to gain investor confidence with $90 billion plan,"Apple's highly anticipated quarterly earnings report is set to release on Thursday. While the company is expected to see a decline in revenue, it will still..."
AAPL,2022-01-03,Apple Reports Earnings Today. What to Expect.,"Shares of the iPhone maker are up 31% this year, though Wall Street is forecasting another year-over-year sales decline in the latest quarter."
AAPL,2022-01-03,Business News | Unifest: The Largest Apple Only Festival in India Powered by Unicorn,"Get latest articles and stories on Business at LatestLY. UniFest is the largest Apple-only festival in India, and it's back this year with unbelievable..."
AAPL,2022-01-03,Both Sundar Pichai and Tim Cook wanted 2 IIT engineers. Here's what happened,Google CEO Sundar Pichai 'personally wooed' the two IIT graduates and their partner to join his company while Apple CEO Tim Cook 'tried to persuade them to...
AAPL,2022-01-03,"TSLA, AAPL, WAL, IMGN, QCOM: Top Trending Stocks - PacWest Banc (NASDAQ:PACW), Apple (NASDAQ:AAPL), Tesla",Be Smarter Than Your Friends: Benzinga members get 3 trade opportunities & the hot takes on the economy every single week. Stop Missing Out!
AAPL,2022-01-03,BeReal now rolling out Apple Music integration to share songs in the app,"Earlier this year, BeReal announced a new feature that lets users share music they're listening to with their friends on the app. At first, the feature was..."
AAPL,2022-01-03,Apple Safari overtakes Microsoft Edge in desktop market share,"Apple's native web browser, Safari, has officially overtaken Microsoft Edge in global market share according to new StatCounter data."
AAPL,2022-01-03,Apple: Be Prepared For Hitting The Target (NASDAQ:AAPL),Apple Inc. is set to report FQ2 2023 earnings after the close on May 4. AAPL is forecast to report poor numbers with revenues and EPS falling.
AAPL,2022-01-03,Apple: Be Prepared For Hitting The Target (NASDAQ:AAPL),"When Apple Inc. (NASDAQ:AAPL) reports earnings tomorrow, the biggest risk to the investment story is the tech giant hitting the expected analyst targets."
AAPL,2022-01-04,Apple expected to announce $90 billion in buybacks and dividends when it reports earnings,The Tech giant is expected to announce its quarterly results today and the buzz is that Apple may seek a buyback of its shares. Reports say that the buyback...
AAPL,2022-01-04,Apple: `Buyback King` looks to gain investor confidence with $90 billion plan,"Apple's highly anticipated quarterly earnings report is set to release on Thursday. While the company is expected to see a decline in revenue, it will still..."
AAPL,2022-01-04,Apple Reports Earnings Today. What to Expect.,"Shares of the iPhone maker are up 31% this year, though Wall Street is forecasting another year-over-year sales decline in the latest quarter."
AAPL,2022-01-04,Business News | Unifest: The Largest Apple Only Festival in India Powered by Unicorn,"Get latest articles and stories on Business at LatestLY. UniFest is the largest Apple-only festival in India, and it's back this year with unbelievable..."
AAPL,2022-01-04,Both Sundar Pichai and Tim Cook wanted 2 IIT engineers. Here's what happened,Google CEO Sundar Pichai 'personally wooed' the two IIT graduates and their partner to join his company while Apple CEO Tim Cook 'tried to persuade them to...
AAPL,2022-01-04,"TSLA, AAPL, WAL, IMGN, QCOM: Top Trending Stocks - PacWest Banc (NASDAQ:PACW), Apple (NASDAQ:AAPL), Tesla",Be Smarter Than Your Friends: Benzinga members get 3 trade opportunities & the hot takes on the economy every single week. Stop Missing Out!
AAPL,2022-01-04,BeReal now rolling out Apple Music integration to share songs in the app,"Earlier this year, BeReal announced a new feature that lets users share music they're listening to with their friends on the app. At first, the feature was..."
AAPL,2022-01-04,Apple Safari overtakes Microsoft Edge in desktop market share,"Apple's native web browser, Safari, has officially overtaken Microsoft Edge in global market share according to new StatCounter data."
AAPL,2022-01-04,Apple: Be Prepared For Hitting The Target (NASDAQ:AAPL),Apple Inc. is set to report FQ2 2023 earnings after the close on May 4. AAPL is forecast to report poor numbers with revenues and EPS falling.
AAPL,2022-01-04,Apple: Be Prepared For Hitting The Target (NASDAQ:AAPL),"When Apple Inc. (NASDAQ:AAPL) reports earnings tomorrow, the biggest risk to the investment story is the tech giant hitting the expected analyst targets."
AAPL,2022-01-05,Apple Inc. (NASDAQ:AAPL) Holdings Increased by BDO Wealth Advisors LLC,Read Apple Inc. (NASDAQ:AAPL) Holdings Increased by BDO Wealth Advisors LLC at Defense World.
AAPL,2022-01-05,1636 Shares in Apple Inc. (NASDAQ:AAPL) Bought by QCM Cayman Ltd.,Read 1636 Shares in Apple Inc. (NASDAQ:AAPL) Bought by QCM Cayman Ltd. at Defense World.
AAPL,2022-01-05,Apple Inc. (NASDAQ:AAPL) Shares Sold by Shilanski & Associates Inc.,"Shilanski & Associates Inc. trimmed its holdings in shares of Apple Inc. (NASDAQ:AAPL – Get Rating) by 77.4% during the fourth quarter, according to its..."
AAPL,2022-01-05,Tevis Investment Management Sells 1915 Shares of Apple Inc. (NASDAQ:AAPL),"Tevis Investment Management decreased its holdings in shares of Apple Inc. (NASDAQ:AAPL – Get Rating) by 7.2% during the 4th quarter, according to the..."
AAPL,2022-01-05,Apple Inc. (NASDAQ:AAPL) Holdings Cut by Cohen Investment Advisors LLC,Read Apple Inc. (NASDAQ:AAPL) Holdings Cut by Cohen Investment Advisors LLC at Defense World.
AAPL,2022-01-05,Essex LLC Has $3.76 Million Stake in Apple Inc. (NASDAQ:AAPL),"Essex LLC decreased its holdings in Apple Inc. (NASDAQ:AAPL – Get Rating) by 5.1% during the fourth quarter, according to its most recent filing with the..."
AAPL,2022-01-05,Apple Inc. (NASDAQ:AAPL) Holdings Boosted by Moloney Securities Asset Management LLC,Read Apple Inc. (NASDAQ:AAPL) Holdings Boosted by Moloney Securities Asset Management LLC at Defense World.
AAPL,2022-01-05,Apple Inc. (NASDAQ:AAPL) Shares Purchased by Cypress Financial Planning LLC,Read Apple Inc. (NASDAQ:AAPL) Shares Purchased by Cypress Financial Planning LLC at Defense World.
AAPL,2022-01-05,Sarasin & Partners LLP Has $14.70 Million Stock Holdings in Apple Inc. (NASDAQ:AAPL),Read Sarasin & Partners LLP Has $14.70 Million Stock Holdings in Apple Inc. (NASDAQ:AAPL) at Defense World.
AAPL,2022-01-05,Apple Inc. (NASDAQ:AAPL) Stock Holdings Lessened by Seneca House Advisors,Read Apple Inc. (NASDAQ:AAPL) Stock Holdings Lessened by Seneca House Advisors at Defense World.
AAPL,2023-01-01,Apple expected to announce $90 billion in buybacks and dividends when it reports earnings,The Tech giant is expected to announce its quarterly results today and the buzz is that Apple may seek a buyback of its shares. Reports say that the buyback...
AAPL,2023-01-01,Apple: `Buyback King` looks to gain investor confidence with $90 billion plan,"Apple's highly anticipated quarterly earnings report is set to release on Thursday. While the company is expected to see a decline in revenue, it will still..."
AAPL,2023-01-01,Apple Reports Earnings Today. What to Expect.,"Shares of the iPhone maker are up 31% this year, though Wall Street is forecasting another year-over-year sales decline in the latest quarter."
AAPL,2023-01-01,Business News | Unifest: The Largest Apple Only Festival in India Powered by Unicorn,"Get latest articles and stories on Business at LatestLY. UniFest is the largest Apple-only festival in India, and it's back this year with unbelievable..."
AAPL,2023-01-01,Both Sundar Pichai and Tim Cook wanted 2 IIT engineers. Here's what happened,Google CEO Sundar Pichai 'personally wooed' the two IIT graduates and their partner to join his company while Apple CEO Tim Cook 'tried to persuade them to...
AAPL,2023-01-01,"TSLA, AAPL, WAL, IMGN, QCOM: Top Trending Stocks - PacWest Banc (NASDAQ:PACW), Apple (NASDAQ:AAPL), Tesla",Be Smarter Than Your Friends: Benzinga members get 3 trade opportunities & the hot takes on the economy every single week. Stop Missing Out!
AAPL,2023-01-01,BeReal now rolling out Apple Music integration to share songs in the app,"Earlier this year, BeReal announced a new feature that lets users share music they're listening to with their friends on the app. At first, the feature was..."
AAPL,2023-01-01,Apple Safari overtakes Microsoft Edge in desktop market share,"Apple's native web browser, Safari, has officially overtaken Microsoft Edge in global market share according to new StatCounter data."
